Time,Channel A,Channel B
(ms),(V),(mV)

28.67300670,-1.07608300,-0.13122960
28.83684670,-1.07608300,0.32654800
29.00068670,-1.07608300,0.32654800
29.16452670,-1.07608300,0.32654800
29.32836670,-1.07608300,-0.13122960
29.49220670,-1.07608300,-0.13122960
29.65604670,-1.07608300,-0.13122960
29.81988669,-1.07608300,0.32654800
29.98372669,0.00000000,-0.58748130
30.14756669,0.00000000,-0.13122960
30.31140669,0.00000000,-0.13122960
30.47524669,0.00000000,-0.13122960
30.63908669,0.00000000,-0.13122960
30.80292669,0.00000000,-0.13122960
30.96676669,0.00000000,-0.13122960
31.13060669,0.00000000,0.32654800
31.29444669,0.00000000,-0.13122960
31.45828668,0.00000000,0.32654800
31.62212668,0.00000000,-0.13122960
31.78596668,0.00000000,0.32654800
31.94980668,0.00000000,0.32654800
32.11364668,0.00000000,-0.13122960
32.27748668,0.00000000,-0.13122960
32.44132668,0.00000000,0.32654800
32.60516668,0.00000000,0.32654800
32.76900668,0.00000000,-0.13122960
32.93284668,0.00000000,-0.13122960
33.09668667,0.00000000,0.32654800
33.26052667,0.00000000,-0.13122960
33.42436667,0.00000000,∞
33.58820667,0.00000000,0.32654800
33.75204667,0.00000000,0.32654800
33.91588667,0.00000000,0.32654800
34.07972667,0.00000000,-0.13122960
34.24356667,0.00000000,-0.13122960
34.40740667,0.00000000,0.32654800
34.57124667,0.00000000,-0.13122960
34.73508667,0.00000000,0.32654800
34.89892666,0.00000000,0.32654800
35.06276666,0.00000000,0.32654800
35.22660666,0.00000000,-0.13122960
35.39044666,0.00000000,0.32654800
35.55428666,0.00000000,0.32654800
35.71812666,0.00000000,0.32654800
35.88196666,0.00000000,0.32654800
36.04580666,1.30008900,0.32654800
36.20964666,1.30008900,-0.13122960
36.37348666,1.30008900,-0.13122960
36.53732665,1.30008900,-0.13122960
36.70116665,1.30008900,0.32654800
36.86500665,1.25522600,-0.13122960
37.02884665,1.30008900,-0.13122960
37.19268665,1.25522600,0.32654800
37.35652665,1.25522600,-0.13122960
37.52036665,1.25522600,-0.13122960
37.68420665,1.25522600,-0.13122960
37.84804665,1.30008900,-0.13122960
38.01188665,-1.25553100,0.32654800
38.17572664,-1.25553100,0.32654800
38.33956664,-1.25553100,-0.13122960
38.50340664,-1.25553100,0.32654800
38.66724664,-1.25553100,0.32654800
38.83108664,-1.30039400,0.32654800
38.99492664,-1.25553100,0.32654800
39.15876664,-1.30039400,0.32654800
39.32260664,-1.30039400,0.32654800
39.48644664,-1.25553100,-0.13122960
39.65028664,-1.25553100,-0.13122960
39.81412663,-1.25553100,0.32654800
39.97796663,0.00000000,0.32654800
40.14180663,0.00000000,-0.13122960
40.30564663,0.00000000,-0.13122960
40.46948663,0.00000000,-0.13122960
40.63332663,0.00000000,-0.13122960
40.79716663,0.00000000,-0.13122960
40.96100663,0.00000000,-0.13122960
41.12484663,0.00000000,0.32654800
41.28868663,0.00000000,0.32654800
41.45252662,0.00000000,0.32654800
41.61636662,0.00000000,-0.13122960
41.78020662,0.00000000,0.32654800
41.94404662,0.00000000,-0.13122960
42.10788662,0.00000000,0.32654800
42.27172662,0.00000000,-0.13122960
42.43556662,0.00000000,-0.13122960
42.59940662,0.00000000,-0.13122960
42.76324662,0.00000000,-0.13122960
42.92708662,0.00000000,-0.13122960
43.09092661,0.00000000,0.32654800
43.25476661,0.00000000,0.32654800
43.41860661,0.00000000,-0.13122960
43.58244661,0.00000000,0.78432570
43.74628661,0.00000000,-0.13122960
43.91012661,0.00000000,-0.13122960
44.07396661,0.00000000,0.32654800
44.23780661,0.00000000,0.32654800
44.40164661,0.00000000,-0.13122960
44.56548661,0.00000000,-0.13122960
44.72932660,0.00000000,0.32654800
44.89316660,0.00000000,-0.13122960
45.05700660,0.00000000,-0.13122960
45.22084660,0.00000000,-0.13122960
45.38468660,0.00000000,0.32654800
45.54852660,0.00000000,-0.13122960
45.71236660,0.00000000,0.32654800
45.87620660,0.00000000,0.32654800
46.04004660,1.47953700,-0.13122960
46.20388660,1.52440000,-0.13122960
46.36772659,1.47953700,-0.13122960
46.53156659,1.47953700,-0.13122960
46.69540659,1.47953700,-0.13122960
46.85924659,1.47953700,-0.13122960
47.02308659,1.47953700,-0.13122960
47.18692659,1.47953700,0.32654800
47.35076659,1.47953700,0.32654800
47.51460659,1.47953700,0.32654800
47.67844659,1.47953700,-0.13122960
47.84228659,1.47953700,-0.13122960
48.00612658,-1.47969000,0.32654800
48.16996658,-1.47969000,0.32654800
48.33380658,-1.47969000,-0.13122960
48.49764658,-1.47969000,-0.13122960
48.66148658,-1.47969000,0.32654800
48.82532658,-1.47969000,-0.13122960
48.98916658,-1.47969000,0.32654800
49.15300658,-1.47969000,0.32654800
49.31684658,-1.47969000,0.32654800
49.48068658,-1.47969000,0.32654800
49.64452657,-1.47969000,0.32654800
49.80836657,-1.47969000,-0.13122960
49.97220657,0.00000000,0.32654800
50.13604657,0.00000000,-0.13122960
50.29988657,0.00000000,0.32654800
50.46372657,0.00000000,0.32654800
50.62756657,0.00000000,0.32654800
50.79140657,0.00000000,-0.13122960
50.95524657,0.00000000,0.32654800
51.11908657,0.00000000,0.32654800
51.28292656,0.00000000,-0.13122960
51.44676656,0.00000000,-0.13122960
51.61060656,0.00000000,-0.13122960
